Año,Trimestre,Accesos TV por suscripción,Accesos TV satelital,Periodo
2022,4,7.680.025,1.837.878,Oct-Dic 2022
2022,3,7.665.931,2.064.699,Jul-Sept 2022
2022,2,7.647.584,2.064.637,Abr-Jun 2022
2022,1,7.564.827,2.049.628,Ene-Mar 2022
2021,4,7.596.758,2.010.217,Oct-Dic 2021
2021,3,7.676.892,2.147.571,Jul-Sept 2021
2021,2,7.333.071,2.326.029,Abr-Jun 2021
2021,1,7.346.948,2.261.855,Ene-Mar 2021
2020,4,7.332.508,2.320.365,Oct-Dic 2020
2020,3,7.329.433,2.451.671,Jul-Sept 2020
2020,2,7.224.135,2.453.731,Abr-Jun 2020
2020,1,7.221.911,2.456.768,Ene-Mar 2020
2019,4,7.296.185,2.459.872,Oct-Dic 2019
2019,3,7.156.690,2.460.927,Jul-Sept 2019
2019,2,7.048.709,2.460.177,Abr-Jun 2019
2019,1,6.971.691,2.473.124,Ene-Mar 2019
2018,4,6.911.972,2.474.558,Oct-Dic 2018
2018,3,7.043.550,2.536.706,Jul-Sept 2018
2018,2,6.930.762,2.502.826,Abr-Jun 2018
2018,1,6.932.176,2.466.902,Ene-Mar 2018
2017,4,6.826.025,2.562.320,Oct-Dic 2017
2017,3,6.767.020,2.592.551,Jul-Sept 2017
2017,2,6.766.484,2.576.258,Abr-Jun 2017
2017,1,6.603.332,2.531.404,Ene-Mar 2017
2016,4,6.553.801,2.662.031,Oct-Dic 2016
2016,3,6.538.382,2.628.542,Jul-Sept 2016
2016,2,6.534.381,2.642.286,Abr-Jun 2016
2016,1,6.505.712,2.539.255,Ene-Mar 2016
2015,4,6.506.102,2.537.610,Oct-Dic 2015
2015,3,6.489.305,2.585.384,Jul-Sept 2015
2015,2,6.460.053,2.582.737,Abr-Jun 2015
2015,1,6.409.504,2.495.326,Ene-Mar 2015
2014,4,6.478.044,2.466.184,Oct-Dic 2014
2014,3,6.449.845,2.450.098,Jul-Sept 2014
2014,2,6.438.522,2.546.820,Abr-Jun 2014
