Año,Trimestre,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),Periodo
2014,1,9.562.231,7.897.980,1.065.834,30.917,567.500,Ene-Mar 2014
2014,2,9.548.994,7.872.511,1.073.038,31.339,572.106,Abr-Jun 2014
2014,3,9.613.361,7.924.613,1.091.747,32.516,564.485,Jul-Sept 2014
2014,4,9.689.752,7.989.623,1.106.502,33.139,560.488,Oct-Dic 2014
2015,1,10.086.221,8.358.053,1.134.427,36.888,556.853,Ene-Mar 2015
2015,2,9.991.190,8.291.156,1.103.025,34.419,562.590,Abr-Jun 2015
2015,3,10.050.617,8.364.541,1.095.767,35.230,555.079,Jul-Sept 2015
2015,4,9.975.798,8.380.800,1.003.363,35.161,556.474,Oct-Dic 2015
2016,1,10.239.381,8.950.226,721.226,37.841,530.088,Ene-Mar 2016
2016,2,10.379.749,9.037.000,759.247,38.093,545.409,Abr-Jun 2016
2016,3,10.130.489,8.829.818,724.585,37.068,539.018,Jul-Sept 2016
2016,4,10.260.812,8.971.186,721.607,37.856,530.163,Oct-Dic 2016
2017,1,10.239.381,8.950.226,721.226,37.841,530.088,Ene-Mar 2017
2017,2,10.379.749,9.037.000,759.247,38.093,545.409,Abr-Jun 2017
2017,3,10.130.489,8.829.818,724.585,37.068,539.018,Jul-Sept 2017
2017,4,10.260.812,8.971.186,721.607,37.856,530.163,Oct-Dic 2017
2018,1,9.666.921,8.490.573,711.654,37.447,427.247,Ene-Mar 2018
2018,2,9.703.699,8.638.311,712.144,38.473,314.771,Abr-Jun 2018
2018,3,9.694.988,8.656.721,709.503,38.828,289.936,Jul-Sept 2018
2018,4,9.805.917,8.764.892,715.700,39.825,285.500,Oct-Dic 2018
2019,1,8.327.400,7.360.178,655.594,34.826,276.802,Ene-Mar 2019
2019,2,8.129.983,7.177.951,640.458,34.264,277.310,Abr-Jun 2019
2019,3,7.892.689,7.069.250,619.801,34.329,169.309,Jul-Sept 2019
2019,4,7.762.812,6.942.553,618.847,34.546,166.866,Oct-Dic 2019
2020,1,7.555.630,6.778.310,605.915,33.415,137.990,Ene-Mar 2020
2020,2,7.463.257,6.694.729,598.402,34.391,135.735,Abr-Jun 2020
2020,3,7.432.548,6.712.162,542.624,36.283,141.479,Jul-Sept 2020
2020,4,7.364.032,6.621.370,579.315,34.155,129.192,Oct-Dic 2020
2021,1,7.200.461,6.459.673,557.287,34.041,149.460,Ene-Mar 2021
2021,2,7.081.716,6.378.508,545.706,34.144,123.358,Abr-Jun 2021
2021,3,7.003.303,6.311.742,536.500,34.225,120.836,Jul-Sept 2021
2021,4,7.626.355,6.933.738,538.714,34.262,119.641,Oct-Dic 2021
2022,1,7.223.205,6.452.832,627.770,26.807,115.796,Ene-Mar 2022
2022,2,7.057.734,6.307.810,610.291,26.749,112.884,Abr-Jun 2022
2022,3,7.024.647,6.292.004,597.354,26.497,108.792,Jul-Sept 2022
2022,4,7.040.872,6.307.995,594.245,27.073,111.559,Oct-Dic 2022
