Provincia,Latitud,Longitud
BUENOS AIRES,-36.6769,-60.5586
CABA,-34.6118,-58.4173
CATAMARCA,-28.4696,-65.7843
CHACO,-26.832,-60.7658
CHUBUT,-43.2934,-65.1113
CORDOBA,-31.4201,-64.1888
CORRIENTES,-27.4692,-58.8306
ENTRE RIOS,-30.9764,-58.62
FORMOSA,-24.8949,-59.9325
JUJUY,-23.8064,-64.7887
LA PAMPA,-37.3852,-64.9594
LA RIOJA,-29.6858,-67.1807
MENDOZA,-32.8895,-68.8458
MISIONES,-26.8754,-54.6514
NEUQUEN,-38.8654,-68.1193
RIO NEGRO,-40.4056,-67.2596
SALTA,-24.2991,-64.8141
SAN JUAN,-31.5375,-68.5315
SAN LUIS,-33.7578,-66.0285
SANTA CRUZ,-48.8155,-69.1996
SANTA FE,-30.7069,-60.9498
SANTIAGO DEL ESTERO,-27.7951,-64.2615
TIERRA DEL FUEGO,-54.807,-68.3
TUCUMAN,-26.8241,-65.2226
